ZIP Code,Week Number,Week Start,Week End,Cases - Weekly,Cases - Cumulative,Case Rate - Weekly,Case Rate - Cumulative,Tests - Weekly,Tests - Cumulative,Test Rate - Weekly,Test Rate - Cumulative,Percent Tested Positive - Weekly,Percent Tested Positive - Cumulative,Deaths - Weekly,Deaths - Cumulative,Death Rate - Weekly,Death Rate - Cumulative,Population,Row ID,ZIP Code Location
60625,12,03/21/2021,03/27/2021,110,6497,139,8198.8,2564,97427,3236,122947.1,0.0,0.1,0,183,0.0,230.9,79243,60625-2021-12,POINT (-87.701816 41.971155)
60629,10,03/07/2021,03/13/2021,98,16137,88,14427.4,1997,103802,1785,92804.6,0.1,0.2,1,237,0.9,211.9,111850,60629-2021-10,POINT (-87.711565 41.777061)
60611,2,01/10/2021,01/16/2021,58,1799,179,5548,1202,36206,3707,111657.3,0.0,0.1,0,11,0.0,33.9,32426,60611-2021-2,POINT (-87.620291 41.894734)
60611,23,06/06/2021,06/12/2021,2,2326,6,7173.3,808,59261,2492,182757.7,0.0,0.0,0,17,0.0,52.4,32426,60611-2021-23,POINT (-87.620291 41.894734)
60624,20,05/16/2021,05/22/2021,27,3453,75,9549.8,1178,45279,3258,125225.4,0.0,0.1,2,80,5.5,221.3,36158,60624-2021-20,POINT (-87.722735 41.879417)
60624,22,05/30/2021,06/05/2021,13,3494,36,9663.1,909,47238,2514,130643.3,0.0,0.1,1,82,2.8,226.8,36158,60624-2021-22,POINT (-87.722735 41.879417)
60624,23,06/06/2021,06/12/2021,7,3501,19,9682.5,690,47928,1908,132551.6,0.0,0.1,2,84,5.5,232.3,36158,60624-2021-23,POINT (-87.722735 41.879417)
60624,24,06/13/2021,06/19/2021,1,3502,3,9685.3,630,48558,1742,134293.9,0.0,0.1,2,86,5.5,237.8,36158,60624-2021-24,POINT (-87.722735 41.879417)
60624,26,06/27/2021,07/03/2021,3,3507,8,9699.1,676,49965,1870,138185.2,0.0,0.1,0,86,0.0,237.8,36158,60624-2021-26,POINT (-87.722735 41.879417)
60624,27,07/04/2021,07/10/2021,5,3512,14,9712.9,682,50647,1886,140071.4,0.0,0.1,0,86,0.0,237.8,36158,60624-2021-27,POINT (-87.722735 41.879417)
